Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Paulas Passage 3, 3",1799,København,55.666706361241324,12.531424495964188,3,2,53,0,3695000,69716,11.152185125641573,0.0,2023,38.16981132075472,149850.0,329850.0,2827.3584905660377,7.947098159192687,8.0,0,1.4185088048464147,1.6290350814065897,0.629203434094892,2.90627021011419
"Paulas Passage 3, 4",1799,København,55.666368307351895,12.53129856744502,4,4,93,0,5995000,64462,11.073831181881586,0.0,3807,40.935483870967744,249228.0,544228.0,2679.870967741936,7.8935239259808805,8.0,0,1.451136139829006,1.6672806428110913,0.6069697740763997,2.9374287546065534
"Paulas Passage 3, 4",1799,København,55.66621675996802,12.53125308803723,4,4,93,0,5445000,58548,10.977602209603836,0.0,3807,40.935483870967744,230418.0,500418.0,2477.612903225807,7.815050836599019,8.0,0,1.4653828486450067,1.6843578758841586,0.5970444899220911,2.9509448667746674
"Ålandsgade 15, st tv",2300,Tårnby,55.663903887840775,12.6051570864917,0,4,77,0,2745000,35649,10.481476374958138,0.0,3357,43.5974025974026,133488.0,268488.0,1733.6103896103893,7.4579614432881725,3.0,0,2.1084242388546897,0.12877851387109002,2.230140799344549,3.3514235039372955
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,3745000,70660,11.165634920913137,0.0,1824,34.41509433962264,148992.0,333992.0,2811.169811320755,7.941355978658877,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,3245000,61226,11.022327214884207,0.0,2023,38.16981132075472,134430.0,294430.0,2536.4150943396226,7.8385069828961775,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 1",1799,København,55.666313126374675,12.53134131681666,1,4,93,0,5245000,56397,10.940171244582071,0.0,3807,40.935483870967744,223638.0,483638.0,2404.7096774193546,7.78518445900332,8.0,0,1.453758219006204,1.673120206408702,0.6006971328515788,2.9395956881898715
"Paulas Passage 3, 2",1799,København,55.66626919882942,12.531305540110528,2,5,122,0,6895000,56516,10.942279062885698,0.0,5078,41.622950819672134,294990.0,634990.0,2417.9508196721313,7.790675691709055,8.0,0,1.4588650952418734,1.678212974489968,0.5988070946866898,2.944562620745768
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,3195000,60283,11.006805419252558,0.0,2023,38.16981132075472,132900.0,287900.0,2507.547169811321,7.827060331149214,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Vesterbrogade 192, 5 25",1800,Frederiksberg,55.670736290500564,12.5341743835411,5,3,74,2311,2995000,40472,10.608365655971774,0.0,2562,34.62162162162162,132588.0,277588.0,1791.7297297297296,7.490936761697005,4.0,0,0.9946426969823371,1.1722698016775503,0.9524248907537951,2.487029837996484
