,Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Price_development,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
78,"Paulas Passage 3, 4",1799,København,55.666679456291334,12.5314220701384,4,3,80,0,11.0216900276358,61187,4895000,3225,0.0,8.0,0,1.4207615713470125,1.632030850848693,0.627059254064805,2.9083885704085404
79,"Paulas Passage 3, 3",1799,København,55.66626554260004,12.53143247537972,3,5,122,0,11.025718706802873,61434,7495000,5078,0.0,8.0,0,1.4537119302323929,1.6778274959075368,0.5928978851984583,2.938963816030589
80,"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,10.975002673319874,58396,3095000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
81,"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,10.829391924926254,50483,4695000,3807,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
82,"Paulas Passage 3, 1",1799,København,55.66629244755155,12.53143490117507,1,4,93,0,10.995796684651122,59623,5545000,3807,0.0,8.0,0,1.4514152680443626,1.6748312812098811,0.5949333341984974,2.9368205407954284
83,"Paulas Passage 3, 2",1799,København,55.6667948454669,12.53116203239689,2,5,122,0,11.012281168477989,60614,7395000,5078,0.0,8.0,0,1.423107701606579,1.6209747052705004,0.647537718764261,2.912012320524899
84,"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,10.958705095551712,57452,3045000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
85,"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,11.006805419252558,60283,3195000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
86,"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,11.090751538798802,65562,5245000,3225,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
87,"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,10.890926165528413,53687,4295000,3225,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
88,"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,10.925254793340631,55562,4445000,3225,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
89,"Harsdorffsvej 4B, 3 MF",1874,Frederiksberg,55.67920418891305,12.54639646326173,3,2,67,0,10.658129564405668,42537,2850000,2839,0.0,3.0,0,0.37897996450577426,0.5187005644858207,1.668484401245867,1.337723974093832
90,"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,10.871117577739868,52634,4895000,3807,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
91,"Paulas Passage 3, 5",1799,København,55.66665483650201,12.531340308992892,5,4,93,0,10.95907055128778,57473,5345000,3807,0.0,8.0,0,1.4263145719398342,1.6352784573674233,0.6284456327766716,2.91404573526503
92,"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,10.975002673319874,58396,3095000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
93,Rebæk Søpark 3,2650,Hvidovre,55.66348946583747,12.457215794433802,0,1,44,8938,10.026280241122992,22613,995000,1272,0.0,3.0,0,1.1265949213496016,3.400360250865239,5.087293843869243,7.207109795896868
94,"Rodosvej 61, 1 TV",2300,Tårnby,55.65162837238469,12.61924653456147,1,4,96,0,10.473449632525693,35364,3395000,4983,0.0,2.0,0,1.0545378308367117,0.9236637600359385,3.682324327231303,4.944672584459286
