Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Yearly_expenses,First_year_expenses,log_yearly_sqm_exp,Price_development,Energy_saving,Days_on_market
"Paulas Passage 3, 4",1799,København,55.66670196320276,12.53126501651534,4,3,80,0,11.031852799353585,61812,4945000,3225,206484.0,451484.0,7.855951571867276,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.66663415766963,12.53143389416071,3,2,53,0,11.138566505035511,68773,3645000,2023,147990.0,327990.0,7.9346080693437715,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66631312637467,12.53134131681666,4,3,80,0,10.979973516212516,58687,4695000,3225,198174.0,428174.0,7.814874076973582,0.0,8.0,0
"Paulas Passage 3, 1",1799,København,55.66670636124132,12.53142449596419,1,4,93,0,10.977602209603837,58548,5445000,3807,230418.0,500418.0,7.815050836599019,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,10.902500475981483,54312,4345000,2042,171948.0,386948.0,7.6729207498307215,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66667945629133,12.5314220701384,4,3,80,0,11.0216900276358,61187,4895000,3225,204954.0,444954.0,7.848514208023504,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.66626554260004,12.53143247537972,3,5,122,0,11.025718706802872,61434,7495000,5078,315330.0,685330.0,7.857353943752253,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,10.975002673319871,58396,3095000,2023,129510.0,279510.0,7.801221463665511,0.0,8.0,0
"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,10.829391924926254,50483,4695000,3807,205158.0,435158.0,7.698936199813447,0.0,8.0,0
"Paulas Passage 3, 1",1799,København,55.66629244755155,12.53143490117507,1,4,93,0,10.995796684651125,59623,5545000,3807,233808.0,508808.0,7.8296560515611775,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.6667948454669,12.53116203239689,2,5,122,0,11.012281168477989,60614,7395000,5078,311940.0,676940.0,7.8465450958725595,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,10.958705095551714,57452,3045000,2023,127650.0,277650.0,7.7867555091175085,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,11.006805419252556,60283,3195000,2023,132900.0,287900.0,7.827060331149215,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,11.0907515387988,65562,5245000,3225,216654.0,476654.0,7.904030255282425,0.0,8.0,0
"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,10.890926165528413,53687,4295000,3225,184614.0,394614.0,7.743995803154631,0.0,8.0,0
"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,10.92525479334063,55562,4445000,3225,189534.0,409534.0,7.770297072262045,0.0,8.0,0
"Harsdorffsvej 4B, 3 MF",1874,Frederiksberg,55.67920418891305,12.54639646326173,3,2,67,0,10.658129564405668,42537,2850000,2839,130848.0,270848.0,7.5770990037734025,0.0,3.0,0
"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,10.871117577739867,52634,4895000,3807,211938.0,451938.0,7.731449564898036,0.0,8.0,0
"Paulas Passage 3, 5",1799,København,55.66665483650201,12.53134030899289,5,4,93,0,10.95907055128778,57473,5345000,3807,227028.0,492028.0,7.800229143721164,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,10.975002673319871,58396,3095000,2023,129510.0,279510.0,7.801221463665511,0.0,8.0,0
Rebæk Søpark 3,2650,Hvidovre,55.66348946583747,12.4572157944338,0,1,44,8938,10.026280241122993,22613,995000,1272,49308.0,94308.0,7.021651984753149,0.0,3.0,0
"Rodosvej 61, 1 TV",2300,Tårnby,55.65162837238469,12.61924653456147,1,4,96,0,10.473449632525694,35364,3395000,4983,175200.0,340200.0,7.509335266016592,0.0,2.0,0
Amager Strandvej 190B,2300,Tårnby,55.65540500628567,12.63747183007713,0,3,86,0,10.746196327732314,46453,3995000,3555,178404.0,373404.0,7.637458624147843,0.0,2.0,0
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,114,0,10.854083088102273,51745,5899000,4426,253084.8,548084.8,7.7052814410212225,0.0,5.0,0
"Tinghøjvej 49A, 1 mf",2860,Gladsaxe,55.74048720472076,12.49418239656983,1,2,65,0,10.555395985079477,38384,2495000,2285,112314.0,232314.0,7.454666529133747,0.0,7.0,0
"Spinderigade 12, 1 TH",2500,København,55.66499987487767,12.51132259220235,1,3,94,0,10.657259354912508,42500,3995000,4031,184116.0,379116.0,7.580026490463202,0.0,4.0,0
"Hyacintgården 17, st 3",2300,Tårnby,55.64925578042148,12.61188754398462,0,1,35,0,10.438283576940698,34142,1195000,1762,61968.0,116968.0,7.47902534026512,0.0,4.0,0
Christiansgave 54,2960,Hørsholm,55.87142264938635,12.55148965558594,0,5,228,0,11.158433850118683,70153,15995000,8885,649164.0,1444164.0,7.954095031265501,0.0,2.0,1
"Oehlenschlægersgade 23, st tv",1663,København,55.67055011097635,12.54995613503653,0,4,74,0,10.762763389682739,47229,3495000,3262,157938.0,327938.0,7.665892736730629,0.0,3.0,1
"Saltholmsvej 7, 3 TV",2300,Tårnby,55.65936206626691,12.60916092234111,3,2,47,0,10.550355164741893,38191,1795000,2069,85992.0,170992.0,7.511861945942841,0.0,3.0,1
"Markskellet 15, st tv",2720,Frederiksberg,55.6943647852029,12.49184537571136,0,2,59,0,10.47751330218821,35508,2095000,2169,97362.0,197362.0,7.408653825861872,0.0,4.0,1
"H.C. Ørsteds Vej 27, 5 39",1879,Frederiksberg,55.67929806421201,12.54750299971186,5,2,73,0,10.747336615509566,46506,3395000,2793,148920.0,313920.0,7.620705086838262,0.0,2.0,1
"Nordre Fasanvej 162, 3 tv",2000,Frederiksberg,55.69409476885547,12.53360950177161,3,3,78,0,10.651193938585422,42243,3295000,2271,139266.0,299266.0,7.487432225756027,0.0,3.0,1
"Ved Sønderport 18, 2 TV",2300,Tårnby,55.66657588398501,12.60174403944358,2,2,64,0,10.648016773545576,42109,2695000,2951,127086.0,257086.0,7.593736218262381,0.0,3.0,1
