Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Højagerparken 45, st",2750,Egedal,55.73437444716244,12.360194130496273,0,5,120,0,2445000,20375,9.922063938109064,0.0,3998,33.31666666666667,131010.0,251010.0,1091.75,6.995537192365672,1.0,91,2.377033706806372,9.75444262635674,13.609558770314319,14.079467005666634
"Byhøjen 1, st th",2720,Frederiksberg,55.682852880086976,12.48720578357008,0,3,98,0,1998000,20387,9.92265272179714,-13.1,5371,54.8061224489796,132177.6,232177.6,1348.7510204081634,7.206934273130474,3.0,385,0.08202355544246481,0.5512660986708918,3.9216037067343312,4.943619687147073
"Lindebo 23, st 134",2630,Høje-Taastrup,55.643556860192305,12.29124811803385,0,1,42,0,865000,20595,9.932803606870179,-3.4,1407,33.5,46422.0,86422.0,1105.2857142857142,7.007859145494143,4.0,88,1.1416460747778558,13.484958448383631,15.677035859644016,17.85799025398268
"Lindebo 11, 2 70",2630,Høje-Taastrup,55.644808457185924,12.29117830844356,2,1,42,0,865000,20595,9.932803606870179,-3.4,1416,33.714285714285715,46530.0,86530.0,1107.857142857143,7.010182926555326,4.0,81,1.0679731332233005,13.439188471954141,15.663047858370843,17.827211746309413
Mejerivej 8E,2690,Solrød,55.56992454790489,12.22115170257606,0,4,155,0,3195000,20612,9.933628709448117,-5.9,2830,18.258064516129032,142584.0,297584.0,919.8967741935485,6.824261461784443,4.0,142,4.693105141152482,21.44373956033069,22.467862453790694,25.159638615286198
"Vejlegårdsparken 52, 2 23",2665,Vallensbæk,55.62452716991658,12.380939585831714,2,3,86,0,1775000,20639,9.934937768809377,0.0,3464,40.27906976744186,101988.0,186988.0,1185.9069767441858,7.078263142033119,3.0,48,0.9958272995871992,9.843556188478617,10.755381330783674,13.395843513226778
"Saven B 1, st 4",2630,Høje-Taastrup,55.65133191574772,12.279244095967472,0,1,36,0,745000,20694,9.937599082164896,0.0,1753,48.694444444444436,46440.0,81440.0,1290.0,7.162397497355718,4.0,1,1.5048653428144478,13.917491097760337,16.33619502079329,18.39669600212505
"Rundforbivej 265, st B",2850,Rudersdal,55.81947259896863,12.530172742802222,0,3,72,0,1495000,20763,9.940927835509973,0.0,2491,34.59722222222222,80886.0,150886.0,1123.4166666666667,7.024129915903064,2.0,25,0.6369061955675854,14.91949001387064,14.44363936133414,15.229519706393118
"Rønnevangshusene 73, 1 th.",2630,Høje-Taastrup,55.643313332009534,12.28658565560688,1,4,96,0,1998000,20812,9.943285022410194,0.0,3697,38.51041666666666,112089.6,212089.6,1167.6,7.06270563897996,3.0,117,1.401620780413214,13.76863438466706,15.971576602907696,18.14883442240289
"Klokkedybet 3, 2 C",2730,Herlev,55.71748745593419,12.45703564076633,2,1,36,1316,750000,20833,9.944293546928384,-5.7,1576,43.77777777777778,44502.0,79502.0,1236.1666666666667,7.119770472508503,1.0,88,1.47286744737467,3.9845959698118665,7.263710556374749,7.777953738343744
"Rønnebærvej 10, 1 108",2840,Rudersdal,55.81161649323325,12.47012631629923,1,2,80,0,1700000,21250,9.964112174352564,0.0,2942,36.775,92934.0,177934.0,1161.675,7.057618208101933,4.0,38,0.4551735692172557,13.903734362206087,14.627690526521635,15.408626354052188
"Saven A 6, 3 2",2630,Høje-Taastrup,55.651235239401124,12.27848868506525,3,4,98,0,2095000,21377,9.97007085667928,0.0,3781,38.58163265306123,116706.0,216706.0,1190.8775510204084,7.082445752164174,4.0,9,1.4561080812395788,13.966127982777758,16.384444998388332,18.445444361961318
"Topperne 6, 3 32",2620,Albertslund,55.67096904352685,12.34081602279594,3,2,49,0,1050000,21428,9.972453757000851,0.0,2562,52.28571428571429,66504.0,116504.0,1357.2244897959183,7.213197077100299,4.0,0,2.7057900280993823,9.625505686069896,12.446475184085298,14.227831070806653
"Vejlegårdsparken 86, 3 TV",2665,Vallensbæk,55.626024427011174,12.37881211730129,3,3,93,0,1995000,21451,9.973526543316103,0.0,2995,32.204301075268816,103884.0,198884.0,1117.032258064516,7.018430677850517,3.0,4,1.1476255736213758,9.82171880686074,10.814897686971618,13.430991333705952
"Vejlegårdsparken 14, st 8",2665,Vallensbæk,55.624573326352476,12.384153399298857,0,3,88,0,1895000,21534,9.977388360375665,0.0,3578,40.65909090909091,107490.0,197490.0,1221.4772727272727,7.107816284488902,3.0,67,0.7938288073436494,9.698449627830216,10.567518773333218,13.21793439333784
"Topperne 16, 1 11",2620,Albertslund,55.670663404460534,12.34147402848666,1,4,97,0,2100000,21649,9.98271454298743,0.0,3477,35.845360824742265,112914.0,217914.0,1164.0618556701033,7.059670767489525,4.0,0,2.700656261020808,9.591407682335813,12.402685237964835,14.19027656160078
