date,identifier,type,value,country
1864-01-12,AGE00135039,TMAX,14.5,AG
1864-01-12,GME00125218,TMAX,-9.3,GM
1864-01-12,EZE00100082,TMAX,-8.4,EZ
1864-01-12,ITE00100554,TMAX,-2.9,IT
1864-01-12,ASN00066062,TMAX,20.8,AS
1864-01-12,AU000005901,TMAX,-8.3,AU
1864-01-12,GM000004204,TMAX,-8.3,GM
1864-01-12,UK000047811,TMAX,8.1,UK
1864-01-12,UK000056225,TMAX,2.9,UK
1864-01-12,SZ000006717,TMAX,-3.8,SZ
1864-01-13,ITE00100550,TMAX,-4.3,IT
1864-01-13,ASN00086071,TMAX,19.6,AS
1864-01-13,CA006158350,TMAX,2.2,CA
1864-01-13,EIE00101859,TMAX,7.2,EI
1864-01-13,BE000006447,TMAX,1.8,BE
1864-01-13,AGE00135039,TMAX,13.5,AG
1864-01-13,GME00125218,TMAX,-7.8,GM
1864-01-13,EZE00100082,TMAX,-13.8,EZ
1864-01-13,ITE00100554,TMAX,-7.5,IT
1864-01-13,ASN00066062,TMAX,23.4,AS
1864-01-13,AU000005901,TMAX,-8.6,AU
1864-01-13,GM000004204,TMAX,-8.6,GM
1864-01-13,UK000047811,TMAX,6.8,UK
1864-01-13,UK000056225,TMAX,2.4,UK
1864-01-13,SZ000006717,TMAX,-1.9,SZ
1864-01-14,ITE00100550,TMAX,-5.0,IT
1864-01-14,ASN00086071,TMAX,22.7,AS
1864-01-14,CA006158350,TMAX,2.2,CA
1864-01-14,EIE00101859,TMAX,7.8,EI
1864-01-14,BE000006447,TMAX,-1.1,BE
1864-01-14,AGE00135039,TMAX,14.0,AG
1864-01-14,GME00125218,TMAX,-10.5,GM
1864-01-14,EZE00100082,TMAX,-15.1,EZ
1864-01-14,ITE00100554,TMAX,-6.6,IT
1864-01-14,ASN00066062,TMAX,23.7,AS
1864-01-14,AU000005901,TMAX,-8.5,AU
1864-01-14,GM000004204,TMAX,-9.4,GM
1864-01-14,UK000047811,TMAX,6.9,UK
1864-01-14,UK000056225,TMAX,4.4,UK
1864-01-14,SZ000006717,TMAX,-5.3,SZ
1864-01-15,ITE00100550,TMAX,-3.1,IT
1864-01-15,ASN00086071,TMAX,22.2,AS
1864-01-15,CA006158350,TMAX,1.7,CA
1864-01-15,EIE00101859,TMAX,8.3,EI
1864-01-15,BE000006447,TMAX,-0.4,BE
1864-01-15,AGE00135039,TMAX,13.0,AG
1864-01-15,GME00125218,TMAX,-5.5,GM
1864-01-15,EZE00100082,TMAX,-9.7,EZ
1864-01-15,ITE00100554,TMAX,-1.9,IT
1864-01-15,ASN00066062,TMAX,26.9,AS
1864-01-15,AU000005901,TMAX,-5.0,AU
1864-01-15,GM000004204,TMAX,-9.9,GM
1864-01-15,UK000047811,TMAX,8.5,UK
1864-01-15,UK000056225,TMAX,4.4,UK
1864-01-15,SZ000006717,TMAX,-7.7,SZ
1864-01-16,ITE00100550,TMAX,-2.5,IT
1864-01-16,ASN00086071,TMAX,25.1,AS
1864-01-16,CA006158350,TMAX,0.0,CA
1864-01-16,EIE00101859,TMAX,7.8,EI
1864-01-16,BE000006447,TMAX,-0.3,BE
1864-01-16,AGE00135039,TMAX,13.5,AG
1864-01-16,GME00125218,TMAX,-10.6,GM
1864-01-16,EZE00100082,TMAX,-14.2,EZ
1864-01-16,ITE00100554,TMAX,-3.1,IT
1864-01-16,ASN00066062,TMAX,30.0,AS
1864-01-16,AU000005901,TMAX,-9.1,AU
1864-01-16,GM000004204,TMAX,-8.6,GM
1864-01-16,UK000047811,TMAX,8.5,UK
1864-01-16,UK000056225,TMAX,5.5,UK
1864-01-16,SZ000006717,TMAX,-5.4,SZ
1864-01-17,ITE00100550,TMAX,-6.3,IT
1864-01-17,ASN00086071,TMAX,21.3,AS
1864-01-17,CA006158350,TMAX,3.3,CA
1864-01-17,EIE00101859,TMAX,8.9,EI
1864-01-17,BE000006447,TMAX,2.5,BE
1864-01-17,GME00125218,TMAX,-8.5,GM
1864-01-17,EZE00100082,TMAX,-12.2,EZ
1864-01-17,ITE00100554,TMAX,-5.0,IT
1864-01-17,ASN00066062,TMAX,32.2,AS
1864-01-17,AU000005901,TMAX,-10.4,AU
1864-01-17,GM000004204,TMAX,-6.3,GM
1864-01-17,UK000047811,TMAX,8.5,UK
1864-01-17,UK000056225,TMAX,6.8,UK
1864-01-17,SZ000006717,TMAX,-6.2,SZ
1864-01-18,ITE00100550,TMAX,-5.0,IT
1864-01-18,ASN00086071,TMAX,30.6,AS
1864-01-18,CA006158350,TMAX,1.7,CA
1864-01-18,EIE00101859,TMAX,6.7,EI
1864-01-18,BE000006447,TMAX,3.3,BE
1864-01-18,AGE00135039,TMAX,13.0,AG
1864-01-18,GME00125218,TMAX,-8.0,GM
1864-01-18,EZE00100082,TMAX,-6.8,EZ
1864-01-18,ITE00100554,TMAX,-4.9,IT
1864-01-18,ASN00066062,TMAX,25.5,AS
1864-01-18,AU000005901,TMAX,-8.4,AU
1864-01-18,GM000004204,TMAX,-5.3,GM
1864-01-18,UK000047811,TMAX,6.5,UK
1864-01-18,UK000056225,TMAX,8.8,UK
1864-01-18,SZ000006717,TMAX,-11.6,SZ
1864-01-19,ITE00100550,TMAX,-1.6,IT
1864-01-19,ASN00086071,TMAX,31.7,AS
1864-01-19,CA006158350,TMAX,-1.7,CA
1864-01-19,EIE00101859,TMAX,7.2,EI
